state,year,quarter,count,amount,district,latitude_x,longitude_x,latitude_y,longitude_y,latitude,longitude
Mizoram,2020,Q3,30971,83270436,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2020,Q3,25540,62210090,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2020,Q3,17199,28176447,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2020,Q3,15789,35985260,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2020,Q3,11286,35131298,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2020,Q3,10351,25197852,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2020,Q3,7107,24796870,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2020,Q4,166039,532069401,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2020,Q4,41847,117007241,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2020,Q4,32803,102209937,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2020,Q4,21383,48253980,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2020,Q4,21149,56473537,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2020,Q4,15587,50140873,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2020,Q4,14804,39531569,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2020,Q4,8995,40835573,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2021,Q1,182220,609359098,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2021,Q1,40131,133262456,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2021,Q1,31658,106154307,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2021,Q1,22212,71207105,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2021,Q1,18670,51226307,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2021,Q1,13769,51873702,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2021,Q1,12877,42644166,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2021,Q1,8038,35378443,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2021,Q2,222893,635733236,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2021,Q2,46084,125798685,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2021,Q2,38779,110575273,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2021,Q2,23910,66068598,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2021,Q2,20464,51797964,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2021,Q2,15913,52313277,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2021,Q2,15664,39541209,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2021,Q2,10633,41046228,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2021,Q3,276340,865537331,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2021,Q3,55054,157303231,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2021,Q3,44431,130625157,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2021,Q3,30064,84157970,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2021,Q3,22878,65856355,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2021,Q3,19902,54838260,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2021,Q3,18678,71974971,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2021,Q3,11182,43455371,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2021,Q4,317555,1021257676,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2021,Q4,62996,193267816,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2021,Q4,47572,152734951,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2021,Q4,37950,113743718,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2021,Q4,28553,76910208,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2021,Q4,25625,100501231,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2021,Q4,21092,58127189,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2021,Q4,11986,54122948,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2022,Q1,341192,1081700361,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2022,Q1,70118,225762310,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2022,Q1,52546,177710904,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2022,Q1,41730,131565353,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2022,Q1,31141,85615813,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2022,Q1,28284,104778862,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2022,Q1,25542,73577504,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2022,Q1,14364,64447851,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2022,Q2,364786,1137178791,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2022,Q2,71974,216551898,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2022,Q2,55575,178078191,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2022,Q2,44824,125315221,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2022,Q2,35643,98025373,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2022,Q2,30607,103805199,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2022,Q2,24248,72294618,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2022,Q2,16320,71937273,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2022,Q3,383546,1129120156,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2022,Q3,81428,231838246,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2022,Q3,52771,160991694,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2022,Q3,44830,121251949,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2022,Q3,32604,88879142,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2022,Q3,25701,86209300,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2022,Q3,23168,65622336,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2022,Q3,14990,62352784,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2022,Q4,360350,1054341698,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2022,Q4,99571,275164384,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2022,Q4,60120,176322495,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2022,Q4,55854,157046232,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2022,Q4,39889,111490213,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2022,Q4,33252,110073440,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2022,Q4,25172,71431982,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2022,Q4,19566,82040637,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2023,Q1,504609,1341466173,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2023,Q1,133494,370554828,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2023,Q1,101803,285504599,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
